descripiton,axis,answer_type
Qual seu nível de conhecimento sobre o que é e para que serve o PDI (Plano de Desenvolvimento Institucional) da Faculdade Biopark?,Eixo 3: Políticas Acadêmicas,1
"
Qual seu nível de conhecimento sobre o que é a CPA (Comissão Própria de Avaliação) e facilidade de acesso a algum do(s) membro(s)?
",Eixo 3: Políticas Acadêmicas,1
Qual seu nível de conhecimento sobre as Normas gerais (Regimento Interno) da Faculdade Biopark?,Eixo 3: Políticas Acadêmicas,1
"A Faculdade Biopark desenvolve projetos que beneficiam o desenvolvimento econômico, social e cultural da Região. Qual seu nível de conhecimento em relação a esses projetos?",Eixo 3: Políticas Acadêmicas,1
Como você avalia o Programa de Empregabilidade (Sucesso do Aluno) do Biopark Educação (Nota 0 a 10)?,Eixo 3: Políticas Acadêmicas,1
A secretaria acadêmica realiza bom atendimento sempre que necessito de ajuda? ,Eixo 3: Políticas Acadêmicas,1
O professor utiliza Metodologia Ativa?,Eixo 1: Planejamento e Avaliação Institucional,1
Tenho clareza de como serei avaliado,Eixo 1: Planejamento e Avaliação Institucional,1
Sou orientado com clareza em todas as etapas do meu projeto integrador e meu orientador participa ativamente deste processo,Eixo 1: Planejamento e Avaliação Institucional,1
"Atribua uma nota de 0 a 10 para a atuação do professor neste módulo/desafio, onde 0 significa muito insatisfeito e 10 muito satisfeito.",Eixo 1: Planejamento e Avaliação Institucional,1
